Fall Type,Precision,Recall,F1-Score,Support
BSC,0.902127659574468,0.9217391304347826,0.9118279569892473,230
FKL,0.8636363636363636,0.8225108225108225,0.8425720620842572,231
FOL,0.7877551020408163,0.8354978354978355,0.8109243697478992,231
SDL,0.918918918918919,0.8869565217391304,0.9026548672566371,230
