Model,Accuracy (%),F1 Score,Training Time (s)
Voting Ensemble,86.65943600867679,0.8669075112036677,10.884707689285278
LightGBM,86.44251626898047,0.8646592749296558,2.7603158950805664
XGBoost,84.59869848156181,0.8460313113366943,6.365684270858765
